,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500
0.01,3.1171,3.13922,3.15037,3.14202,3.14993,3.13817,3.13208,3.13941,3.12998,3.13599,3.12051,3.13054,3.13886,3.15312,3.13885,3.13103,3.1399,3.14508,3.13844,3.14556,3.15673
0.02,3.12051,3.11535,3.11602,3.12291,3.11552,3.11782,3.13149,3.12193,3.14098,3.1271,3.15394,3.15027,3.14513,3.14451,3.14213,3.14993,3.15621,3.16623,3.1576,3.14936,3.14392
0.03,3.14818,3.1172,3.12709,3.11716,3.14224,3.10775,3.13745,3.13251,3.1307,3.11699,3.12692,3.12645,3.13274,3.11606,3.1127,3.11263,3.11624,3.11922,3.11388,3.11127,3.10574
0.04,3.11175,3.12608,3.13521,3.15227,3.14726,3.13858,3.14146,3.15282,3.15441,3.1239,3.12523,3.13349,3.14136,3.12342,3.11819,3.13307,3.13662,3.14138,3.14241,3.15536,3.13878
0.05,3.1169,3.12699,3.13673,3.14648,3.1377,3.13795,3.12544,3.11957,3.12973,3.13239,3.11796,3.12519,3.1219,3.1372,3.14451,3.12376,3.11255,3.11743,3.1124,3.11575,3.12169
0.06,3.11496,3.12763,3.13486,3.13435,3.14049,3.14376,3.13947,3.16132,3.15302,3.15625,3.15308,3.17652,3.17266,3.1873,3.18979,3.16759,3.1823,3.17148,3.14218,3.1829,3.17587
0.07,3.1165,3.10377,3.1034,3.12846,3.12161,3.14362,3.15823,3.16376,3.15415,3.18363,3.17817,3.15363,3.17735,3.16516,3.17575,3.15347,3.15093,3.14819,3.13594,3.14666,3.16741
0.08,3.12755,3.131,3.1477,3.12634,3.12145,3.12716,3.12528,3.11634,3.12366,3.14176,3.14943,3.14125,3.1352,3.13478,3.15427,3.12513,3.13538,3.12644,3.12723,3.1279,3.12921
0.09,3.12459,3.13175,3.13415,3.12896,3.14967,3.14007,3.14925,3.15209,3.15116,3.16087,3.16959,3.16334,3.18076,3.17176,3.17714,3.1619,3.16694,3.16128,3.18792,3.1742,3.16335
0.1,3.12008,3.138,3.14683,3.13799,3.15088,3.14238,3.14124,3.15341,3.21583,3.19478,3.18043,3.17287,3.17875,3.18588,3.16669,3.14555,3.15334,3.15082,3.15326,3.15782,3.16069
