EventNumber,mBB,dRBB,dPhiVBB,dPhiLBmin,Mtop,dYWH,pTV,pTB1,pTB2,mTW,MET
355014,108.306549072,1.37953150272,3.13649964333,2.18978643417,161755.859375,0.278986662626,178287.53125,169.562973022,33.3761444092,40089.8476562,85.7712402344
1562781,175.0,1.32332229614,3.08782052994,2.02309775352,294307.59375,0.95804464817,309710.6875,267.860992432,65.0606994629,84645.2890625,127.890159607
563493,94.7243881226,0.827485978603,3.02606081963,2.39249706268,306841.875,0.121906131506,221055.203125,126.370132446,102.566925049,33267.9648438,128.987731934
2806313,175.0,2.34763383865,3.10724496841,2.26995849609,269449.53125,1.35517883301,166590.8125,115.685447693,104.361610413,12052.1123047,37.9241409302
2168672,137.061035156,2.37012720108,3.10676980019,1.15169847012,112041.5,0.0270711556077,155325.671875,178.809921265,24.4699707031,17530.8671875,121.550811768
2407577,118.719207764,0.85933971405,3.06452488899,2.54462337494,252529.109375,0.459209889174,227875.09375,259.688659668,59.1957550049,6130.36230469,114.659454346
1707995,62.3078041077,0.61540210247,3.01603388786,1.23604166508,187701.9375,0.821263730526,173752.0,154.114761353,53.590763092,112684.09375,171.677902222
5747536,175.0,2.66396689415,2.98754262924,1.7494020462,124204.3125,0.559059143066,173016.375,176.316696167,20.5490550995,27212.0527344,102.908210754
9440514,175.0,2.96971344948,2.9856262207,1.59007370472,297859.96875,1.96851873398,166049.109375,113.191368103,112.043426514,44441.2226562,139.66192627
9060076,175.0,2.87548518181,3.03455018997,0.0762623548508,141034.390625,0.41247048974,227765.5625,229.127288818,40.7580070496,83868.5,77.5968856812
1254110,72.6889419556,0.6002368927,3.08114933968,2.90511107445,472396.40625,2.91492605209,215399.09375,291.021392822,31.5063724518,60720.3554688,29.7809123993
2122811,79.7603302002,0.956075251102,3.09337735176,2.00751304626,192763.34375,0.109970510006,195684.453125,145.361434937,36.6342582703,71119.9609375,155.767684937
3255971,150.292297363,2.03588604927,3.13529014587,1.23933184147,130123.820312,0.0331748053432,179610.25,194.517211914,21.8802661896,1598.84680176,125.293006897
943161,117.63760376,1.60270011425,2.89794325829,2.1064157486,219375.171875,0.844533205032,165671.78125,155.640914917,29.3250637054,25299.0429688,73.1418075562
518673,116.293670654,1.26939749718,3.10829639435,2.2994966507,196612.625,1.07395708561,194326.546875,181.440048218,46.5000534058,22263.7558594,119.681251526
1961265,175.0,2.5406358242,2.94802880287,2.32427000999,182170.859375,1.32367229462,156819.859375,92.3233337402,52.3685112,110591.625,110.267860413
6367237,175.0,2.30043029785,3.1285443306,0.981718838215,177919.109375,0.335145622492,264602.3125,308.129974365,73.4445114136,45676.953125,56.3664855957
11043386,175.0,2.98577451706,3.12225794792,0.0306378602982,175336.0625,1.71636247635,297037.59375,350.0,47.097366333,83113.7734375,144.455123901
5948197,65.6885147095,0.564041793346,3.11417984962,2.83789825439,224900.21875,0.527569830418,224798.640625,200.376754761,39.437122345,132975.859375,38.5350952148
9669974,175.0,3.14316987991,3.09251642227,0.132165431976,153243.984375,0.950953304768,259058.390625,350.0,180.0,11960.1152344,211.801071167
332631,131.708480835,1.35486280918,3.13894820213,2.50185108185,267551.21875,0.195866063237,172180.953125,95.4497451782,88.9970855713,63019.1992188,66.6285324097
367999,87.790184021,0.975456297398,3.10812187195,2.50179672241,247388.3125,1.38787770271,171817.578125,101.518440247,75.2853317261,16972.7949219,120.613433838
1226215,175.0,2.52610754967,3.03400444984,0.418993234634,559986.625,2.65773153305,204525.9375,339.664611816,180.0,69834.3671875,180.816955566
9344004,62.364566803,0.756865262985,3.08032345772,2.80025887489,225162.0625,0.340310424566,181859.953125,104.681991577,58.2436637878,41093.3359375,89.8357620239
4184960,103.440124512,1.19093585014,2.98070931435,1.7356069088,192192.828125,0.343428969383,171664.8125,157.985473633,26.3152828217,81026.8359375,162.029800415
