,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_base_estimator__max_depth,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,16.6612949371,0.416768550873,0.262587763238,14.6639109339,2,100,"{'n_estimators': 100, 'base_estimator__max_depth': 2}",91,0.259797420042,14.9247307161,0.265378106434,14.4030911517,0.0111379623413,0.0270495414734,0.00279034319564,0.260819782194
1,18.3221474886,0.442613005638,0.263012414086,14.723080351,2,110,"{'n_estimators': 110, 'base_estimator__max_depth': 2}",27,0.259813128299,14.9251495364,0.266211699874,14.5210111656,0.0101224184036,0.00921595096588,0.00319928578773,0.20206918542
2,19.9999485016,0.478062391281,0.262742805973,14.7437483482,2,120,"{'n_estimators': 120, 'base_estimator__max_depth': 2}",72,0.259872594884,14.9344445437,0.265613017061,14.5530521526,0.0155174732208,0.00431942939758,0.00287021108854,0.190696195531
3,21.6543029547,0.529193520546,0.262712632948,14.7645246788,2,130,"{'n_estimators': 130, 'base_estimator__max_depth': 2}",78,0.25973197083,14.9308432244,0.265693295066,14.5982061331,0.0155628919601,0.0221625566483,0.0029806621183,0.166318545648
4,23.3367166519,0.5380859375,0.262638732028,14.7860691478,2,140,"{'n_estimators': 140, 'base_estimator__max_depth': 2}",86,0.25967696632,14.9689754454,0.265600497736,14.6031628502,0.0148015022278,0.00247192382812,0.00296176570794,0.182906297608
5,25.0222665071,0.565807580948,0.262754984882,14.7944317652,2,150,"{'n_estimators': 150, 'base_estimator__max_depth': 2}",69,0.259778432686,14.9823312022,0.265731537079,14.6065323282,0.00750553607941,0.0041344165802,0.00297655219636,0.187899437005
6,26.7720489502,0.596346616745,0.262659631253,14.8091049971,2,160,"{'n_estimators': 160, 'base_estimator__max_depth': 2}",85,0.259524649238,14.9759055244,0.265794613268,14.6423044699,0.0852279663086,0.00461649894714,0.00313498201503,0.166800527233
7,28.5660380125,0.626451969147,0.26272057355,14.8356567341,2,170,"{'n_estimators': 170, 'base_estimator__max_depth': 2}",76,0.259841512067,14.9981106396,0.265599635033,14.6732028287,0.179110884666,0.00497913360596,0.00287906148334,0.162453905463
8,30.2501024008,0.654378652573,0.262748310513,14.8507756066,2,180,"{'n_estimators': 180, 'base_estimator__max_depth': 2}",71,0.259852135526,15.0208798345,0.265644485501,14.6806713787,0.224697470665,0.00550556182861,0.00289617498791,0.170104227869
9,31.9554665089,0.684612631798,0.262824056313,14.8496262637,2,190,"{'n_estimators': 190, 'base_estimator__max_depth': 2}",62,0.260168790485,15.0334456498,0.26547932214,14.6658068777,0.247390508652,0.00359046459198,0.0026552658277,0.183819386075
10,33.6330195665,0.715387821198,0.26283440112,14.8712759302,2,200,"{'n_estimators': 200, 'base_estimator__max_depth': 2}",59,0.25959879946,15.0743806582,0.266070002779,14.6681712021,0.252342581749,0.00528597831726,0.00323560165913,0.203104728055
11,35.3096790314,0.744127988815,0.262665827484,14.8937634223,2,210,"{'n_estimators': 210, 'base_estimator__max_depth': 2}",84,0.259797690375,15.0888029372,0.265533964592,14.6987239074,0.256162881851,0.00407910346985,0.00286813710845,0.195039514902
12,37.1268575191,0.774880051613,0.262734050043,14.908156017,2,220,"{'n_estimators': 220, 'base_estimator__max_depth': 2}",74,0.259916637958,15.1033203554,0.265551462129,14.7129916786,0.405523538589,0.00775110721588,0.00281741208568,0.195164338441
