,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_base_estimator__max_depth,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,9.88786995411,0.233437538147,1.02916029954,50.3359454703,2,50,"{'n_estimators': 50, 'base_estimator__max_depth': 2}",260,1.03330938092,51.5886452967,1.02501121815,49.083245644,1.22163498402,0.00821352005005,0.00414908138698,1.25269982639
1,11.3640738726,0.263715147972,1.04587870366,50.7803343928,2,60,"{'n_estimators': 60, 'base_estimator__max_depth': 2}",259,1.04953495737,51.4965379854,1.04222244994,50.0641308003,0.739133954048,0.00701105594635,0.00365625371492,0.71620359258
2,15.1186084747,0.371794104576,1.05302630582,51.5346199698,2,70,"{'n_estimators': 70, 'base_estimator__max_depth': 2}",258,1.04531503993,52.4882742678,1.0607375717,50.5809656718,0.935781478882,0.0872210264206,0.00771126588641,0.953654297999
3,15.2911070585,0.302048563957,1.0848113077,51.882817988,2,80,"{'n_estimators': 80, 'base_estimator__max_depth': 2}",256,1.08464485442,52.8919495442,1.08497776098,50.8736864318,0.707461953163,0.00205051898956,0.000166453281306,1.00913155623
4,17.0915250778,0.339393973351,1.07856497701,52.119144156,2,90,"{'n_estimators': 90, 'base_estimator__max_depth': 2}",257,1.06988581748,53.2233330268,1.08724413653,51.0149552852,0.0701470375061,0.0147300958633,0.00867915952311,1.10418887083
5,20.2947275639,0.350389480591,1.08874968475,52.4154901749,2,100,"{'n_estimators': 100, 'base_estimator__max_depth': 2}",255,1.05549006717,53.4555718365,1.12200930233,51.3754085132,1.09614658356,0.00363159179688,0.0332596175799,1.04008166166
6,22.3165155649,0.432023882866,1.09419995886,52.6851513467,2,110,"{'n_estimators': 110, 'base_estimator__max_depth': 2}",251,1.06751603106,53.7137684067,1.12088388666,51.6565342867,0.356484532356,0.0214229822159,0.0266839277981,1.02861706001
7,25.5297640562,0.492228984833,1.09293898322,52.8029842827,2,120,"{'n_estimators': 120, 'base_estimator__max_depth': 2}",253,1.06290655348,53.6972070316,1.12297141295,51.9087615338,1.63502299786,0.0925540924072,0.0300324297366,0.894222748907
8,27.6191949844,0.433488965034,1.09083036346,53.1207204552,2,130,"{'n_estimators': 130, 'base_estimator__max_depth': 2}",254,1.07529546997,54.2237131422,1.10636525695,52.0177277682,0.167871952057,0.00778210163116,0.0155348934924,1.10299268698
9,29.0343295336,0.480468511581,1.0934276744,53.325744315,2,140,"{'n_estimators': 140, 'base_estimator__max_depth': 2}",252,1.0717491631,54.5027212511,1.1151061857,52.1487673788,1.11256754398,0.0225865840912,0.0216785112997,1.17697693614
10,31.6419279575,0.458489060402,1.10395475979,53.353844249,2,150,"{'n_estimators': 150, 'base_estimator__max_depth': 2}",249,1.0826053456,54.3001122997,1.12530417397,52.4075761982,0.512834072113,0.0035320520401,0.0213494141872,0.946268050729
11,34.9464935064,0.611820936203,1.10902261598,53.4902546816,2,160,"{'n_estimators': 160, 'base_estimator__max_depth': 2}",245,1.07786915208,54.2431455436,1.14017607987,52.7373638196,1.20605838299,0.12303686142,0.031153463891,0.752890862018
12,37.1481325626,0.525173425674,1.10976583546,53.4799781217,2,170,"{'n_estimators': 170, 'base_estimator__max_depth': 2}",242,1.07779339622,54.2626462866,1.14173827471,52.6973099568,0.900310516357,0.0138385295868,0.0319724392431,0.782668164908
13,40.5413930416,0.65901696682,1.11035987981,53.6646575191,2,180,"{'n_estimators': 180, 'base_estimator__max_depth': 2}",241,1.07697440463,54.555432268,1.143745355,52.7738827703,1.68819403648,0.0824149847031,0.0333854751837,0.890774748808
