,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_features,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.713472008705,0.444218397141,0.541934177867,23.7472716654,3,10,"{'max_features': 3, 'n_estimators': 10}",30,0.543391397999,23.6821978977,0.540476882511,23.8123454331,0.0260759592056,0.0933635234833,0.00145725774339,0.0650737676643
1,1.3615809679,0.339134097099,0.541934177867,23.7472716654,3,20,"{'max_features': 3, 'n_estimators': 20}",29,0.543391398,23.6821978977,0.540476882512,23.8123454331,0.14055788517,0.0334080457687,0.00145725774371,0.0650737676643
2,1.976557374,0.389558672905,0.605567932536,50.6151897238,3,30,"{'max_features': 3, 'n_estimators': 30}",22,0.670655622676,77.4180340146,0.540476882512,23.8123454331,0.0820435285568,0.00535953044891,0.0650893700604,26.8028442908
3,2.54629099369,0.472450494766,0.779932874067,53.1200204654,3,40,"{'max_features': 3, 'n_estimators': 40}",12,1.00583979283,68.74407865,0.554014293789,37.4959622809,0.000152945518494,0.0456695556641,0.225912749443,15.6240581845
4,3.26383602619,0.526456475258,0.970515940488,79.4470564494,3,50,"{'max_features': 3, 'n_estimators': 50}",7,0.985700367943,65.8800413123,0.9553307292,93.0140715865,0.0501309633255,0.0491596460342,0.0151848193662,13.5670151371
5,3.88492810726,0.487032532692,0.76124363561,74.2734059867,3,60,"{'max_features': 3, 'n_estimators': 60}",16,0.64419368907,59.0585023606,0.878299624374,89.4883096129,0.0299690961838,0.00315845012665,0.117052967613,15.2149036262
6,4.5010869503,0.530240416527,0.749381410267,64.1797428354,3,70,"{'max_features': 3, 'n_estimators': 70}",18,0.590529653503,41.6980857351,0.908241367102,86.6613999357,0.0244209766388,0.0194274187088,0.158855856747,22.4816571003
7,4.98494803905,0.566476464272,0.549639804664,28.0123865257,3,80,"{'max_features': 3, 'n_estimators': 80}",26,0.558802253841,32.2124276183,0.540476882512,23.8123454331,0.0589541196823,0.0128525495529,0.00916268566177,4.20004109261
8,5.66900551319,0.637119889259,0.811455272894,63.2145079815,3,90,"{'max_features': 3, 'n_estimators': 90}",9,0.958458739158,60.6243668989,0.664444218179,65.804649064,0.109743475914,0.00546205043793,0.14700726044,2.59014108254
9,6.40252995491,0.708008527756,1.02455953078,72.6892595494,3,100,"{'max_features': 3, 'n_estimators': 100}",2,1.04255017276,70.8281674073,1.0065679601,74.5503516915,0.0102250576019,0.0110275745392,0.0179911063232,1.86109214211
10,0.831742525101,0.320424437523,1.07805595892,83.2180634755,4,10,"{'max_features': 4, 'n_estimators': 10}",1,1.07235756067,79.9471066541,1.08375465134,86.4890202969,0.0263955593109,0.0181185007095,0.00569854533516,3.27095682139
11,1.6055970192,0.435873508453,0.777497302683,49.5611591396,4,20,"{'max_features': 4, 'n_estimators': 20}",13,1.01450548828,75.3099728461,0.540476882512,23.8123454331,0.0144820213318,0.0453815460205,0.237014302805,25.7488137065
12,2.39453101158,0.414224505424,0.991013393579,79.1311367187,4,30,"{'max_features': 4, 'n_estimators': 30}",6,1.06407957299,71.1171424722,0.917943442428,87.1451309651,0.0671789646149,0.000914454460144,0.0730680652558,8.0139942464
13,3.20481455326,0.453534960747,1.00235980172,79.0539213509,4,40,"{'max_features': 4, 'n_estimators': 40}",4,1.0659527969,71.2224864594,0.938763523824,86.8853562424,0.0439485311508,0.00258696079254,0.0635946365155,7.83143489148
14,3.92123055458,0.494603991508,0.734427560651,46.825847612,4,50,"{'max_features': 4, 'n_estimators': 50}",19,0.928368227399,69.8393497909,0.540476882512,23.8123454331,0.0602705478668,0.042622923851,0.193945672379,23.0135021789
15,4.71704995632,0.528299927711,0.767392589385,50.5798921947,4,60,"{'max_features': 4, 'n_estimators': 60}",14,0.982055403796,62.5033129732,0.552718693888,38.6564714161,0.0435041189194,0.0405699014664,0.214668354882,11.9234207786
16,5.46466851234,0.717958927155,0.561166187688,29.1275806827,4,70,"{'max_features': 4, 'n_estimators': 70}",23,0.581854424918,34.4428159324,0.540476882512,23.8123454331,0.083996295929,0.169031858444,0.0206887711961,5.3152352497
17,6.80950498581,0.667505145073,0.991022038504,73.0142911462,4,80,"{'max_features': 4, 'n_estimators': 80}",5,0.967937860468,64.5594327113,1.01410740817,81.469149581,0.401437997818,0.0734480619431,0.0230847738418,8.45485843483
18,7.18809342384,0.688823580742,1.00355830333,60.5323504865,4,90,"{'max_features': 4, 'n_estimators': 90}",3,0.97753212609,47.1112096363,1.02958582407,73.9534913368,0.0370924472809,0.0332275629044,0.0260268489804,13.4211408503
19,7.96007955074,0.677966475487,0.756711512475,46.3085857308,4,100,"{'max_features': 4, 'n_estimators': 100}",17,0.97293498079,68.8048260285,0.540476882512,23.8123454331,0.05453145504,0.020178437233,0.216229049067,22.4962402977
20,0.947683572769,0.288883924484,0.541934177867,23.7472716654,5,10,"{'max_features': 5, 'n_estimators': 10}",28,0.543391398,23.6821978977,0.540476882512,23.8123454331,0.0137085914612,0.0205359458923,0.0014572577438,0.0650737676643
21,1.98535859585,0.342824459076,0.623501140463,46.900050242,5,20,"{'max_features': 5, 'n_estimators': 20}",21,0.543391397999,23.6821978977,0.703615018264,70.1179025863,0.0570524930954,0.0086305141449,0.0801118101055,23.2178523443
22,2.88680052757,0.361958503723,0.692676503731,49.624889353,5,30,"{'max_features': 5, 'n_estimators': 30}",20,0.543391397999,23.6821978977,0.841969315693,75.5675808082,0.0777463912964,0.0215826034546,0.149288958797,25.9426914553
23,3.78953909874,0.414719462395,0.808886815175,48.7022605267,5,40,"{'max_features': 5, 'n_estimators': 40}",10,0.543391398,23.6821978977,1.07439593746,73.7223231557,0.126347064972,0.0351954698563,0.265502269643,25.020062629
24,4.7301170826,0.451226472855,0.548803732358,26.8621950515,5,50,"{'max_features': 5, 'n_estimators': 50}",27,0.557130152386,29.91204467,0.540476882512,23.8123454331,0.13850903511,0.00641441345215,0.00832663493433,3.04984961849
25,5.65653944016,0.505314946175,0.766767633867,41.6629221535,5,60,"{'max_features': 5, 'n_estimators': 60}",15,0.993046704493,59.513498874,0.540476882512,23.8123454331,0.10183763504,0.0476421117783,0.226284910915,17.8505767205
26,6.75130343437,0.551483631134,0.552456021702,31.4243910872,5,70,"{'max_features': 5, 'n_estimators': 70}",25,0.543391397999,23.6821978977,0.561521113329,39.1665842768,0.0155935287476,0.00788450241089,0.00906485766207,7.74219318951
27,7.84459352493,0.597506046295,0.805754093771,52.7677211626,5,80,"{'max_features': 5, 'n_estimators': 80}",11,0.543391397999,23.6821978977,1.06813033294,81.8532444275,0.10916852951,0.0165979862213,0.262369467383,29.0855232649
28,8.89562499523,0.618517875671,0.560325411206,34.9502183594,5,90,"{'max_features': 5, 'n_estimators': 90}",24,0.543391398,23.6821978977,0.577260298561,46.2182388211,0.147405028343,0.0154900550842,0.0169344502746,11.2680204617
29,9.62966394424,0.687425017357,0.829974342808,63.5707474823,5,100,"{'max_features': 5, 'n_estimators': 100}",8,0.669835334659,56.1466412526,0.990121617476,70.994853712,0.220299005508,0.00372207164764,0.160143141355,7.42410622972
